번호,발생시각,규모,깊이(km),위도,경도,위치
100,2002.9.15 16:40,2.5,,35.90 N,129.70 E,경북 포항시 남구 동남동쪽 33km 해역
99,2002.8.13 16:07,2.7,,35.10 N,125.20 E,전남 신안군 흑산면 북북서쪽 56km 해역
98,2002.8.10 21:47,4,,35.10 N,123.40 E,전남 흑산도 서북서쪽 195km 해역
97,2002.8.6 21:37,2.5,,35.70 N,127.60 E,전북 장수군 북동쪽 9km 지역
96,2002.8.6 7:32,3,,34.70 N,127.40 E,전남 고흥군 북동쪽 15km 지역
95,2002.7.17 6:50,3.3,,38.00 N,124.40 E,인천 백령도 서북서쪽 25km 해역
94,2002.7.12 8:17,2.1,,35.90 N,129.80 E,경북 포항시 남구 동남동쪽 41km 해역
93,2002.7.9 4:01,3.8,,35.90 N,129.60 E,경북 포항시 남구 동남동쪽 24km 해역
92,2002.7.2 1:49,2.3,,35.80 N,128.00 E,경남 거창군 북북동쪽 15km 지역
91,2002.6.23 11:12,2,,34.70 N,126.60 E,전남 영암군 남서쪽 14km 지역
90,2002.6.7 22:24,2.8,,38.40 N,125.30 E,북한 황해남도 안악 남서쪽 21km 지역
89,2002.5.29 18:22,2.4,,34.70 N,127.90 E,경남 남해군 남쪽 15km 해역
88,2002.4.17 7:52,3.9,,40.50 N,128.50 E,북한 함경남도 북청 북북동쪽 33km 지역
87,2002.4.14 12:29,2.4,,35.10 N,125.00 E,전남 신안군 흑산면 북서쪽 66km 해역
86,2002.4.1 7:46,2.5,,37.30 N,128.10 E,강원 원주시 동남동쪽 15km 지역
85,2002.3.25 18:10,2.4,,37.10 N,127.20 E,경기 용인시 처인구 남남서쪽 12km 지역
84,2002.3.25 5:31,2.4,,37.40 N,129.20 E,강원 삼척시 남남동쪽 6km 지역
83,2002.3.22 11:28,3.5,,38.30 N,124.50 E,북한 인천 백령도 북북서쪽 42km 해역
82,2002.3.17 9:26,3.9,,38.10 N,124.30 E,북한 인천 백령도 서북서쪽 37km 해역
81,2002.3.12 20:04,2.4,,34.90 N,127.40 E,전남 순천시 서남서쪽 10km 지역
80,2002.3.8 2:09,2.4,,35.50 N,126.10 E,전북 부안군 위도 서남서쪽 21km 해역
79,2002.3.7 23:30,3,,36.50 N,126.60 E,충남 홍성군 남남서쪽 12km 지역
78,2002.2.28 22:26,2.1,,36.70 N,128.10 E,경북 문경시 북북서쪽 15km 지역
77,2002.2.7 9:31,2.4,,36.10 N,129.20 E,경북 포항시 북구 서북서쪽 17km 지역
76,2002.2.3 22:44,2.6,,35.00 N,125.00 E,전남 신안군 흑산면 북서쪽 58km 해역
75,2002.1.17 20:16,2.9,,35.10 N,125.00 E,전남 신안군 흑산면 북서쪽 66km 해역
74,2002.1.17 6:28,2.8,,36.20 N,126.20 E,전북 군산시 어청도 동북동쪽 22km 해역
73,2002.1.8 8:18,2.8,,35.80 N,128.20 E,경북 고령군 북서쪽 10km 지역
72,2002.1.7 17:10,3.1,,35.40 N,128.80 E,경남 밀양시 남남동쪽 10km 지역
71,2002.1.4 0:33,2.3,,34.80 N,127.40 E,전남 보성군 동쪽 29km 지역
70,2001.11.30 11:18,2.4,,35.90 N,127.50 E,전북 진안군 북북동쪽 14km 지역
69,2001.11.24 16:10,4.1,,36.70 N,129.90 E,경북 울진군 남동쪽 55km 해역
68,2001.11.21 10:49,3.5,,36.70 N,128.30 E,경북 문경시 북동쪽 16km 지역
67,2001.11.9 13:54,2.6,,34.70 N,126.90 E,전남 장흥군 북북서쪽 2km 지역
66,2001.10.28 22:27,2.1,,37.10 N,129.00 E,강원 태백시 남쪽 7km 지역
65,2001.10.1 3:35,2.6,,36.00 N,127.70 E,전북 무주군 동쪽 3km 지역
64,2001.9.24 9:33,2.6,,35.50 N,127.50 E,전북 남원시 북동쪽 14km 지역
63,2001.9.19 8:47,2.6,,36.60 N,126.90 E,충남 예산군 남동쪽 11km 지역
62,2001.9.15 2:32,2.2,,35.60 N,125.90 E,전북 부안군 서쪽 70km 해역
61,2001.9.13 6:07,2.2,,36.40 N,127.00 E,충남 청양군 동남동쪽 18km 지역
60,2001.9.7 8:42,2.8,,34.80 N,127.40 E,전남 보성군 동쪽 29km 지역
59,2001.8.24 11:12,3.1,,35.90 N,128.20 E,경북 성주군 서남서쪽 8km 지역
58,2001.8.20 21:04,2.5,,34.00 N,125.50 E,전남 신안군 흑산면 남쪽 72km 해역
57,2001.8.6 23:46,2.3,,36.70 N,128.30 E,경북 문경시 북동쪽 16km 지역
56,2001.7.27 10:04,2.2,,36.50 N,128.00 E,경북 상주시 북서쪽 18km 지역
55,2001.7.26 19:55,2,,36.20 N,127.40 E,충남 금산군 북서쪽 13km 지역
54,2001.7.23 17:29,3.5,,36.40 N,128.00 E,경북 상주시 서쪽 14km 지역
53,2001.7.15 20:01,2.3,,36.70 N,127.00 E,충남 아산시 남쪽 10km 지역
52,2001.6.29 11:21,3.6,,35.80 N,126.60 E,전북 부안군 서북서쪽 15km 해역
51,2001.6.17 1:04,2.3,,35.70 N,126.40 E,전북 부안군 서쪽 30km 해역
50,2001.6.16 21:26,2.2,,36.00 N,127.90 E,경북 김천시 남서쪽 23km 지역
49,2001.6.13 13:53,2.9,,34.80 N,127.30 E,전남 고흥군 북쪽 21km 지역
48,2001.6.9 0:36,2.3,,36.70 N,128.80 E,경북 안동시 북북동쪽 16km 지역
47,2001.5.28 7:25,2.1,,36.40 N,127.80 E,충북 보은군 남남동쪽 11km 지역
46,2001.5.27 20:24,2.5,,35.80 N,129.70 E,경북 포항시 남구 남동쪽 38km 해역
45,2001.5.27 15:25,2.6,,34.10 N,127.60 E,전남 여수시 거문도 동북동쪽 28km 해역
44,2001.5.25 0:06,2.6,,33.60 N,126.80 E,제주 제주시 동북동쪽 27km 해역
43,2001.5.16 1:09,2,,36.00 N,126.70 E,충남 서천군 남쪽 9km 해역
42,2001.5.5 11:21,3.3,,37.80 N,124.50 E,인천 백령도 남서쪽 23km 해역
41,2001.4.21 2:30,2.1,,35.90 N,125.30 E,전북 군산시 어청도 서남서쪽 65km 해역
40,2001.4.17 2:42,2.5,,35.40 N,126.10 E,전북 부안군 위도 남서쪽 29km 해역
39,2001.4.16 22:50,2.2,,35.90 N,129.70 E,경북 포항시 남구 동남동쪽 33km 해역
38,2001.3.19 22:16,2.8,,37.60 N,124.60 E,인천 백령도 남쪽 40km 해역
37,2001.3.7 8:27,2.5,,35.10 N,127.80 E,경남 하동군 북동쪽 6km 지역
36,2001.3.6 0:23,2.3,,35.30 N,125.70 E,전북 부안군 위도 서남서쪽 63km 해역
35,2001.2.28 12:46,2.9,,35.30 N,127.90 E,경남 산청군 남쪽 13km 지역
34,2001.2.19 8:27,2,,37.40 N,128.40 E,강원 평창군 북북동쪽 4km 지역
33,2001.2.14 1:02,2.2,,36.00 N,128.20 E,경북 성주군 북서쪽 12km 지역
32,2001.2.10 17:47,2,,37.10 N,127.60 E,경기 이천시 남동쪽 24km 지역
31,2001.2.8 16:59,2.3,,38.40 N,127.90 E,강원 양구군 북북서쪽 34km 지역(북한지역)
30,2001.1.29 11:44,3,,35.70 N,126.60 E,전북 부안군 서남서쪽 13km 지역
29,2000.12.22 8:19,2.7,,36.30 N,127.40 E,대전 중구 남서쪽 4km 지역
28,2000.12.9 18:51,3.7,,36.50 N,130.00 E,경북 영덕군 동쪽 57km 해역
27,2000.12.2 16:53,3.1,,34.60 N,126.90 E,전남 장흥군 남쪽 9km 지역
26,2000.11.14 17:41,2.9,,38.80 N,125.80 E,북한 황해북도 송림 동북동쪽 16km 지역
25,2000.11.5 21:39,2.2,,36.20 N,127.20 E,충남 논산시 동북동쪽 9km 지역
24,2000.10.28 7:10,2.7,,37.10 N,126.70 E,경기 화성시 남서쪽 16km 해역
23,2000.10.23 11:35,2.6,,37.70 N,125.70 E,북한 인천 옹진군 연평도 북쪽 4km 해역
22,2000.10.8 7:46,2.6,,37.30 N,128.80 E,강원 정선군 남동쪽 15km 지역
21,2000.10.3 0:01,2,,36.70 N,127.20 E,충남 연기군 북서쪽 15km 지역
20,2000.9.23 10:07,2.4,,35.60 N,128.40 E,경남 창녕군 북서쪽 11km 지역
19,2000.9.13 20:38,2.4,,35.70 N,127.10 E,전북 완주군 남남서쪽 17km 지역
18,2000.8.21 19:43,3.4,,38.90 N,125.90 E,북한 평양 남동쪽 19km 지역
17,2000.8.15 1:36,2.2,,35.30 N,125.90 E,전남 영광군 서쪽 56km 해역
16,2000.8.6 19:35,2.2,,36.30 N,128.40 E,경북 의성군 서남서쪽 27km 지역
15,2000.8.5 21:02,2.7,,35.10 N,124.90 E,전남 신안군 흑산면 북서쪽 72km 해역
14,2000.7.24 7:00,3,,38.50 N,127.80 E,북한 강원 회양 남동쪽 28km 지역
13,2000.5.26 21:41,2.4,,36.20 N,127.10 E,충남 논산시 북쪽 2km 지역
12,2000.5.19 1:44,2.7,,36.60 N,128.50 E,경북 안동시 서쪽 21km 지역
11,2000.5.11 16:00,2.9,,38.60 N,127.80 E,북한 강원 회양 남동쪽 21km 지역
10,2000.5.11 15:01,2.9,,38.60 N,127.80 E,북한 강원 회양 남동쪽 21km 지역
9,2000.5.11 10:51,3.1,,33.30 N,125.90 E,제주 서귀포시 서쪽 57km 해역
8,2000.5.9 6:55,2.3,,35.20 N,128.10 E,경남 진주시 북동쪽 2km 지역
7,2000.4.29 8:53,3.3,,35.80 N,125.70 E,전북 군산시 어청도 남남서쪽 43km 해역
6,2000.4.15 8:05,2.3,,36.60 N,128.30 E,경북 예천군 서남서쪽 15km 지역
5,2000.4.12 4:44,3.5,,36.90 N,125.30 E,충남 태안군 서격렬비열도 북북서쪽 39km 해역
4,2000.3.21 13:43,2.3,,36.50 N,126.00 E,충남 태안군 남서쪽 38km 해역
3,2000.3.15 1:10,2.5,,36.30 N,125.90 E,전북 군산시 어청도 북북서쪽 20km 해역
2,2000.2.21 1:06,2.1,,35.80 N,128.20 E,경북 고령군 북서쪽 10km 지역
1,2000.1.18 15:08,3,,38.70 N,127.90 E,북한 강원 회양 동쪽 26km 지역
