번호,발생시각,규모,깊이(km),위도,경도,위치
505,2011.6.17 16:57,2.4,,37.90 N,124.81 E,인천 백령도 동남동쪽 13km 해역
504,2011.6.17 16:38,4,,37.89 N,124.81 E,인천 백령도 동남동쪽 13km 해역
503,2011.6.16 8:13,2.8,,33.62 N,127.27 E,제주 서귀포시 성산 북동쪽 44km 해역
502,2011.6.15 14:21,3.7,,33.71 N,127.81 E,전남 여수시 거문도 남동쪽 58km 해역
501,2011.6.9 15:13,2.6,,35.91 N,129.70 E,경북 포항시 남구 동남동쪽 32km 해역
500,2011.6.8 14:21,3,,35.08 N,125.30 E,전남 신안군 흑산면 북북서쪽 50km 해역
499,2011.6.5 22:53,2.5,,36.05 N,127.53 E,충남 금산군 남남동쪽 7km 지역
498,2011.6.2 10:50,2.9,,36.70 N,127.94 E,경북 문경시 서북서쪽 26km 지역
497,2011.6.2 8:09,2.9,,33.59 N,127.26 E,제주 서귀포시 성산 동북동쪽 42km 해역
496,2011.5.29 10:22,3.2,,35.58 N,128.75 E,경북 청도군 남쪽 8km 지역
495,2011.5.28 15:41,2.5,,35.93 N,129.69 E,경북 포항시 남구 동남동쪽 31km 해역
494,2011.5.25 18:29,2.3,,33.61 N,127.28 E,제주 서귀포시 성산 동북동쪽 31km 해역
493,2011.5.11 21:08,2.2,,39.33 N,126.22 E,북한 평안남도 성천 북쪽 10km 지역
492,2011.4.24 16:37,3.1,,37.85 N,125.01 E,인천 백령도 동남동쪽 31km 해역
491,2011.4.11 23:48,2.8,,39.13 N,125.87 E,북한 평안남도 평성 남쪽 12km 지역
490,2011.4.11 6:11,3.1,,37.72 N,129.07 E,강원 강릉시 동남동쪽 16km 해역
489,2011.4.3 1:47,2.7,,35.77 N,128.53 E,대구 달성군 남남서쪽 7km 지역
488,2011.3.28 13:50,3.2,,35.97 N,129.95 E,경북 포항시 북구 동쪽 53km 해역
487,2011.3.24 4:35,2.8,,36.34 N,127.83 E,충북 옥천군 동쪽 23km 지역
486,2011.3.14 14:47,2.9,,34.62 N,126.10 E,전남 신안군 남서쪽 31km 해역
485,2011.3.13 3:12,2.3,,37.50 N,125.33 E,인천 옹진군 연평도 서남서쪽 38km 해역
484,2011.3.12 8:15,2.6,,37.00 N,125.27 E,충남 태안군 서격렬비도 북북서쪽 50km 해역
483,2011.3.11 9:57,2.5,,38.51 N,127.57 E,북한 강원 회양 남쪽 22km 지역
482,2011.3.6 11:04,2.9,,38.66 N,125.67 E,북한 황해북도 송림 남남동쪽 9km 지역
481,2011.2.27 18:50,3.5,,33.65 N,125.90 E,제주 제주시 고산 북북서쪽 47km 해역
480,2011.2.11 19:21,2.2,,37.19 N,129.06 E,강원 삼척시 남남서쪽 30km 지역
479,2011.1.26 22:15,2.7,,33.40 N,127.33 E,제주 서귀포시 성산 동쪽 42km 해역
478,2011.1.21 10:56,2.2,,33.70 N,127.38 E,전남 여수시 거문도 남쪽 37km 해역
477,2011.1.4 1:22,2,,36.41 N,127.15 E,충남 공주시 남동쪽 4km 지역
476,2010.12.20 6:56,2.2,,36.93 N,125.50 E,충남 태안군 서격렬비도 북북서쪽 35km 해역
475,2010.12.19 9:11,2.6,,37.31 N,129.38 E,강원 삼척시 남동쪽 24km 해역
474,2010.11.28 10:15,2.3,,35.18 N,127.02 E,전남 담양군 남쪽 16km 지역
473,2010.11.27 7:51,2.8,,35.95 N,129.79 E,경북 포항시 남구 동쪽 39km 해역
