구별,강간,강도,살인,절도,폭력,범죄,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,범죄검거율,CCTV수,CCTV최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율,강간율,강도율,살인율,절도율,폭력율,범죄율
동대문구,0.20461095100864551,0.4705882352941176,0.24999999999999997,0.32938643702906356,0.3793350017876296,0.3453720813035444,0.695344049410088,1.0,1.0,0.3562656525599106,0.8551444165884661,0.5690071815875246,0.35250544662309363,0.18713883998059747,0.4422257287414155,0.42845235253751823,0.4073443579766537,0.6451606673876102,0.4445125012197164,0.662058894450829,0.45004349857517945,0.20861867240874316,0.4291862948681282,0.24247093957165142,0.14385682990266635,0.21170761720960735,0.17376988052098608
동작구,0.5273775216138328,0.23529411764705882,0.24999999999999997,0.2877646214567635,0.15123346442617092,0.2368553670418277,0.0,0.11111111111111116,1.0,0.16515004804844446,0.34941670069129493,0.02020422724687876,0.26405228758169935,0.48852355098375366,0.5227583702547344,0.514932720708894,0.3054170719844358,0.6806928781090684,0.2901569555276272,0.47329621846469605,0.3002711887998797,0.4215172782945865,0.19353610387093853,0.1966226072870431,0.09157732735245006,0.029373038342337954,0.07565652055176103
마포구,0.5533141210374639,0.5294117647058822,0.5,0.5353426623609616,0.5348587772613513,0.535864270115908,0.6879368185630419,0.4285714285714286,1.0,0.04257622346137735,0.5084427219598204,0.1781159029927859,0.03877995642701526,0.828142891012825,0.47994826324350537,0.4741138825073843,0.27559581712062253,0.5407268654410629,0.28024863854185417,0.2880071557359347,0.09560133225291065,0.48237371405673546,0.44235132476356587,0.46985256555703614,0.2182498285902526,0.27284480735171374,0.24992484506488366
서대문구,0.1498559077809798,0.0,0.0,0.2687477574452817,0.20343224883804079,0.2292961532000672,0.6197295854830103,0.6000000000000001,1.0,0.3440203926515324,0.3647588831926605,0.33343149818135265,0.20784313725490194,0.06490746255301441,0.36298650614046424,0.3555471850105917,0.3089737354085603,0.5290630310520623,0.3889508879639526,0.6724243322886285,0.3519295665005243,0.21101664601862452,0.07833349497125211,0.0014635722650401528,0.15487845337924916,0.16249464389369522,0.15822504753667116
서초구,0.8386167146974062,0.23529411764705882,0.5,0.5640473627556513,0.32606363961387197,0.4669914328909794,0.28474328139705096,0.33333333333333326,0.25000000000000044,0.3668844867773622,0.8611506598555216,0.294786511752513,0.6296296296296295,0.1339530625442569,0.5934939718442732,0.5998485843005043,0.06988691634241245,0.5980418662135023,0.04699116720868293,0.10905147208956567,0.586979609099488,0.5953932208505918,0.161256275658635,0.3800038445922225,0.17435040572578148,0.08549151193459453,0.15059090797266222
성동구,0.06916426512968299,0.23529411764705882,0.16666666666666666,0.1951919626838895,0.0446907400786557,0.11657987569292799,0.8915525114155249,0.7777777777777777,1.0,0.22293172241124015,0.7538996043403827,0.2856843574405148,0.25141612200435726,0.2198783705250855,0.3331892041636484,0.3339126413461825,0.1777419747081712,0.3714081569596787,0.2409515666087399,0.34649352330064964,0.4343292444025305,0.14802170214304683,0.31869780763110145,0.22037088160539461,0.13152636938289852,0.07356349987352528,0.10656637181722511
성북구,0.13832853025936598,0.0,0.24999999999999997,0.2590599210620739,0.25813371469431534,0.2502939694271796,0.6616438356164385,0.6000000000000001,1.0,0.3705535302833005,0.45326721964431194,0.43541894176574125,0.4265795206971677,0.13514833440675225,0.613990262857913,0.6068953814482203,0.28787694552529186,0.8482929090066431,0.23646397152277743,0.5511684838832296,0.39271761845176967,0.07188533984874301,0.0,0.1550160071021149,0.051068433870711666,0.042166349114103274,0.04620097347255986
송파구,0.340057636887608,0.4705882352941176,0.75,0.780767850735558,0.6464068644976761,0.6910801276667227,0.6273349937733499,0.5384615384615388,0.7272727272727275,0.14532376108760214,0.5210086027135219,0.13189519392639149,0.05795206971677558,0.32520827595005175,1.0,0.9999999999999999,0.14840710116731518,0.9991889386683146,0.05628403574505571,0.0,0.0,0.07609244888086303,0.15226322735690026,0.3382358609284295,0.11220417010530293,0.05402792768218123,0.08509052752690571
양천구,0.051873198847262214,0.05882352941176466,0.08333333333333334,0.296734840330104,0.365391490883089,0.31311943557869987,0.7559931506849313,0.0,1.0,0.16898035678205692,0.09375767615192743,0.22191606739862468,0.6749455337690631,0.0,0.6490267537431469,0.6557064325566131,0.061162451361867695,0.6220261084504868,0.03226806510680105,0.03038920534804168,0.578552063135406,0.0,0.0292792186325129,0.005918252457240425,0.05528914954750058,0.077434756886193,0.060689746143314516
영등포구,0.5561959654178674,1.0,0.9999999999999999,0.6820954431288124,0.7454415445119771,0.7060305728204268,0.2588808915718597,0.8181818181818181,0.5714285714285716,0.08236910228646277,0.3266368081546922,0.12042956443562058,0.18257080610021786,0.5755317342560659,0.5049106867099803,0.4545454545454546,1.0,0.6111733353931716,1.0,0.3735950874034599,0.23013896845893864,0.4608725245933022,0.7713892168239409,0.9314620529599261,0.2678894139078765,0.37007528323839395,0.3181901143493383
용산구,0.2651296829971181,0.5294117647058822,0.24999999999999997,0.17725152493720842,0.2012870933142653,0.19418780446833533,0.7886950995622086,1.0,1.0,0.24156744571586763,0.3532799434940763,0.39330448426126985,0.4962962962962963,0.08655581929881412,0.20770136436041278,0.19606468359340035,0.386977140077821,0.2986829908852155,0.6753561553063296,0.6925769265061739,1.0000000000000002,0.5205187370665053,0.8196399141280769,0.46801613509727735,0.20696854151722222,0.3323177521787009,0.27087761609367467
은평구,0.18443804034582129,0.23529411764705882,0.08333333333333334,0.30534625044851094,0.4168752234537004,0.3495716445489669,0.7060158441987125,0.33333333333333326,1.0,0.22284261194129318,0.7986935732037992,0.4988723267411581,0.6047930283224401,0.23601104456407054,0.6759994983556172,0.6818013992899126,0.07380836575875485,0.9958674494052218,0.03964931206242997,0.6567773929112812,0.5000850334991539,0.08199384417302075,0.12984010179702013,0.0,0.051169114791987075,0.08861299610326856,0.0662401502144706
종로구,0.31412103746397696,0.35294117647058826,0.33333333333333337,0.4022246142805884,0.2881658920271719,0.34285234335629095,0.5374277738102966,0.6363636363636367,0.5000000000000004,0.26266424761325036,0.48119529966146324,0.24502496597968415,0.2252723311546841,1.0,0.05536806284780524,0.05459356445982638,0.21929717898832687,0.09000849683299861,0.6296698179062469,0.8283404940962651,0.9133227697157986,1.0,0.9999999999999999,1.0000000000000002,0.6447902506135226,0.7900757275406549,0.7195641661635297
중구,0.19596541786743515,0.23529411764705882,0.08333333333333334,0.5328310010764262,0.26349660350375403,0.38467999328069885,0.3225221595487511,0.33333333333333326,0.0,0.10662280084370068,0.9615541048047298,0.05348768356824252,0.08104575163398692,0.5275503697606736,0.0,0.0,0.21008633268482488,0.0,0.7572183771258449,0.8228514407051484,0.7180146343124356,0.980861933330745,0.9997887000533029,0.5343199971491166,1.0,1.0,0.9999999999999999
중랑구,0.24495677233429397,0.35294117647058826,0.9166666666666666,0.384642985288841,0.486235252055774,0.42482781790693774,0.5928869679876934,0.6363636363636367,0.7692307692307692,0.2797477109240374,0.5201623592935931,0.4277505021492982,0.07625272331154681,0.21138311336253704,0.5264701643259716,0.5325096219828743,0.07915856031128404,0.6953885369998456,0.06633276347144222,0.49397236875010364,0.11641555330657641,0.19230480318891086,0.2767648043673917,0.8217277253945804,0.13075465136627457,0.20950160823882863,0.1654455684403749
