"","CUS_ID","T_USAGE","PAGEVIEWS","GENDER","SCHOOL","LOCATION"
"1601",3663,1689467,22510,"남자","대졸","그외"
"1602",3664,688673,26202,"남자","대졸","서울"
"1603",3665,489000,13477,"남자","고졸","서울"
"1604",3667,1710639,54266,"여자","고졸","그외"
"1605",3669,292469,8397,"여자","대졸","그외"
"1606",3670,366190,11364,"남자","대학원졸","그외"
"1607",3673,759638,18045,"남자","대학원졸","서울"
"1608",3674,209548,7708,"남자","대학원졸","그외"
"1609",3675,131510,6283,"여자","대졸","그외"
"1610",3678,450131,32157,"남자","고졸","서울"
"1611",3680,537120,26084,"여자","고졸","그외"
"1612",3685,339649,16905,"남자","대졸","서울"
"1613",3686,575265,23250,"여자","대학원졸","서울"
"1614",3687,864168,41307,"남자","고졸","서울"
"1615",3689,164861,8771,"남자","고졸","서울"
"1616",3690,525124,12498,"여자","대졸","그외"
"1617",3692,242670,5223,"남자","대졸","그외"
"1618",3694,520124,14982,"여자","대졸","서울"
"1619",3696,352522,16497,"여자","대졸","그외"
"1620",3699,447779,22581,"남자","중졸이하","그외"
"1621",3705,250926,8602,"여자","대졸","그외"
"1622",3707,94987,4068,"남자","대졸","그외"
"1623",3708,1004759,36879,"남자","고졸","서울"
"1624",3709,296725,9834,"여자","대학원졸","그외"
"1625",3711,553472,23730,"여자","고졸","서울"
"1626",3712,273815,19639,"여자","대졸","그외"
"1627",3714,343854,15676,"여자","대졸","서울"
"1628",3715,355135,11748,"남자","대졸","그외"
"1629",3720,82325,5020,"여자","대졸","서울"
"1630",3723,1399766,42751,"남자","대졸","서울"
"1631",3725,282352,5132,"남자","고졸","그외"
"1632",3726,124745,6233,"여자","고졸","그외"
"1633",3731,882223,35117,"여자","대졸","서울"
"1634",3732,1551748,56755,"남자","중졸이하","그외"
"1635",3736,734577,19474,"여자","대졸","서울"
"1636",3737,1468972,43718,"남자","고졸","서울"
"1637",3740,296546,14055,"남자","대학원졸","그외"
"1638",3744,119316,3601,"여자","대학원졸","서울"
"1639",3746,945473,19876,"남자","고졸","그외"
"1640",3747,246122,6079,"남자","고졸","서울"
"1641",3757,591496,16447,"여자","대학원졸","서울"
"1642",3759,633607,22159,"남자","대학원졸","서울"
"1643",3761,848610,44790,"남자","대졸","그외"
"1644",3762,376971,20315,"여자","고졸","서울"
"1645",3764,870477,40150,"여자","고졸","서울"
"1646",3765,729790,38417,"여자","대졸","서울"
"1647",3766,459245,14453,"여자","대학원졸","그외"
"1648",3770,315275,8841,"여자","대졸","그외"
"1649",3771,871625,27054,"여자","대졸","그외"
"1650",3772,200112,7127,"남자","대졸","그외"
"1651",3773,180281,8060,"남자","대졸","그외"
"1652",3775,159906,11509,"여자","대졸","그외"
"1653",3777,606506,33052,"여자","대졸","그외"
"1654",3781,291323,11402,"여자","대졸","그외"
"1655",3783,52758,2692,"여자","대졸","서울"
"1656",3784,721670,27485,"여자","고졸","그외"
"1657",3787,593145,20335,"여자","대졸","그외"
"1658",3789,573378,30415,"여자","대학원졸","서울"
"1659",3790,1007364,37439,"여자","고졸","그외"
"1660",3791,397549,13385,"여자","중졸이하","서울"
"1661",3794,193030,7655,"남자","중졸이하","그외"
"1662",3795,853378,25194,"남자","고졸","서울"
"1663",3797,759241,37086,"여자","대졸","서울"
"1664",3798,2084966,83854,"남자","대졸","서울"
"1665",3800,593416,18577,"여자","고졸","그외"
"1666",3801,89184,4033,"남자","고졸","그외"
"1667",3804,614734,18357,"남자","대졸","그외"
"1668",3806,147847,3878,"남자","대졸","그외"
"1669",3811,363676,13521,"남자","대졸","그외"
"1670",3812,276320,12997,"여자","고졸","그외"
"1671",3814,178987,7776,"여자","대졸","그외"
"1672",3816,1165362,32689,"남자","대졸","서울"
"1673",3817,440301,10557,"남자","대졸","그외"
"1674",3819,294023,7607,"남자","대졸","그외"
"1675",3824,1341627,61342,"남자","대졸","그외"
"1676",3825,513230,19408,"여자","대학원졸","서울"
"1677",3826,180149,7363,"남자","고졸","서울"
"1678",3827,905196,42087,"남자","고졸","서울"
"1679",3833,495717,7439,"여자","대학원졸","서울"
"1680",3834,610764,24483,"남자","대졸","서울"
"1681",3835,1138568,49856,"여자","대졸","서울"
"1682",3836,112834,5624,"남자","대졸","그외"
"1683",3840,54182,1542,"여자","대졸","그외"
"1684",3843,768389,20184,"남자","대졸","서울"
"1685",3845,196788,6155,"여자","대학원졸","서울"
"1686",3846,126259,9218,"남자","대졸","서울"
"1687",3854,33090,995,"남자","고졸","서울"
"1688",3855,716886,28728,"남자","대졸","서울"
"1689",3856,310781,14461,"남자","고졸","서울"
"1690",3859,599606,17452,"여자","대졸","서울"
"1691",3860,1056002,23413,"남자","대졸","서울"
"1692",3861,202154,12924,"남자","대졸","그외"
"1693",3862,816617,30605,"여자","대졸","그외"
"1694",3863,819859,30639,"여자","대졸","그외"
"1695",3865,169609,8816,"남자","대졸","그외"
"1696",3868,384099,17710,"남자","대졸","서울"
"1697",3880,486002,24197,"여자","대졸","서울"
"1698",3882,506063,22951,"여자","대졸","서울"
"1699",3885,211363,7418,"여자","고졸","서울"
"1700",3886,1549588,59905,"여자","대학원졸","서울"
"1701",3888,304491,10988,"여자","대졸","서울"
"1702",3893,155601,8379,"여자","대학원졸","그외"
"1703",3894,789729,40426,"여자","대졸","서울"
"1704",3895,886064,31762,"남자","대학원졸","서울"
"1705",3897,930989,39197,"여자","대졸","서울"
"1706",3898,994271,47573,"여자","대학원졸","그외"
"1707",3902,124031,5576,"남자","고졸","그외"
"1708",3903,389177,16652,"남자","대졸","그외"
"1709",3904,84898,4104,"남자","고졸","그외"
"1710",3906,199015,4656,"남자","대학원졸","그외"
"1711",3909,413460,14474,"남자","대졸","그외"
"1712",3912,554614,33954,"남자","대졸","서울"
"1713",3914,148644,9046,"여자","대졸","서울"
"1714",3915,931143,28205,"여자","대졸","서울"
"1715",3916,1975115,68503,"여자","대졸","그외"
"1716",3921,144182,9609,"여자","고졸","서울"
"1717",3922,1563005,39116,"남자","대졸","서울"
"1718",3924,959166,31758,"남자","대졸","서울"
"1719",3929,585404,21212,"남자","고졸","서울"
"1720",3930,171982,9024,"남자","대졸","그외"
"1721",3932,263340,9066,"남자","대졸","그외"
"1722",3934,1297515,43516,"남자","대졸","서울"
"1723",3935,256883,10321,"남자","대졸","그외"
"1724",3936,238731,4776,"여자","대졸","서울"
"1725",3941,262930,9890,"여자","고졸","서울"
"1726",3943,378465,11244,"여자","대졸","그외"
"1727",3950,1319387,70109,"남자","대학원졸","그외"
"1728",3953,98904,3295,"여자","대졸","서울"
"1729",3957,2087453,62723,"여자","대졸","그외"
"1730",3958,248439,7911,"여자","대졸","그외"
"1731",3962,798033,22930,"남자","고졸","그외"
"1732",3965,152715,7743,"여자","고졸","서울"
"1733",3966,547446,70159,"여자","대졸","서울"
"1734",3968,943537,55066,"여자","대졸","서울"
"1735",3972,178097,7921,"여자","대학원졸","서울"
